id	src tokenized	tgt tokenized	src raw	tgt raw	bias type tag
1	[@MbSofKSA, Still, waiting, for, a, response, from, the, Crown, B*tch, of, Saudi, Arabia!, You, think, I, care, that, your, a, "Crown, Prince", ., NO!!I, How, does, it, feel, to, kill, &dismember, a, journalist, or, imprison, a, female, activist, for, having, the, audacity, to, say, that, women, should, be, able, to, drive?FU!!!]	[@MbSofKSA, Still, waiting, for, a, response, from, the, Crown, Prince, of, Saudi, Arabia!, You, think, I, care, that, your, a, "Crown, Prince", ., NO!!I, How, does, it, feel, to, kill, &dismember, a, journalist, or, imprison, a, female, activist, for, having, the, audacity, to, say, that, women, should, be, able, to, drive?FU!!!]	@MbSofKSA  Still waiting for a response from the Crown B*tch of Saudi Arabia! You think I care that your a "Crown Prince" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women should be able to drive?FU!!!	@MbSofKSA  Still waiting for a response from the Crown Prince of Saudi Arabia! You think I care that your a "Crown Prince" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women should be able to drive?FU!!!	genderednouns
2	[@KabeloMrCool, @Mo_Mothapo, You, guys, chose, to, complicate, life.]	[@KabeloMrCool, @Mo_Mothapo, You, people, chose, to, complicate, life.]	@KabeloMrCool @Mo_Mothapo You guys chose to complicate life.	@KabeloMrCool @Mo_Mothapo You people chose to complicate life.	genderednouns
3	[New, Realm, #48, -, MGTOW, Debate, vs., Lamprey, Milt, https://t.co/Y3PkD2k6cb, |, I, debated, a, member, of, the, MGTOW, community,, which, is, closely, related, to, incels., ---#podcast, #podcasts, #incel, #mgtow, #altright, #debate, https://t.co/YLOzIHpI8n]	[New, Realm, #48, -, MGTOW, Debate, vs., Lamprey, Milt, https://t.co/Y3PkD2k6cb, |, I, debated, a, member, of, the, MGTOW, community,, which, is, closely, related, to, people, who, do, not, have, sex., ---#podcast, #podcasts, #incel, #mgtow, #altright, #debate, https://t.co/YLOzIHpI8n]	New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to incels. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n	New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to people who do not have sex. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n	genderednouns
4	[manspreading, bros]	[spreading, bros]	manspreading bros	spreading bros	genderednouns
5	[RT, @TBVines:, This, man, has, balls, http://t.co/OGzvcnlctG]	[RT, @TBVines:, This, man, has, guts, http://t.co/OGzvcnlctG]	RT @TBVines: This man has balls http://t.co/OGzvcnlctG	RT @TBVines: This man has guts http://t.co/OGzvcnlctG	genderednouns
6	[Together,, we, have, the, balls, to, conquer, anything!, #Teamwork]	[Together,, we, have, the, courage, to, conquer, anything!, #Teamwork]	Together, we have the balls to conquer anything! #Teamwork	Together, we have the courage to conquer anything! #Teamwork	genderednouns
7	[Just, finished, a, productive, day, of, meetings., forty, man, hours, well, spent!, #Productivity]	[Just, finished, a, productive, day, of, meetings., forty, hours, well, spent!, #Productivity]	Just finished a productive day of meetings. forty man hours well spent! #Productivity	Just finished a productive day of meetings. forty hours well spent! #Productivity	genderednouns
8	[feeling, pumped, after, hitting, the, gym., it's, all, about, pushing, boundaries, and, reaching, new, heights!, #FitnessGoals, #Ballsy]	[feeling, pumped, after, hitting, the, gym., it's, all, about, pushing, boundaries, and, reaching, new, heights!, #FitnessGoals, #Daring]	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Ballsy	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Daring	genderednouns
9	[ladies, and, gentlemen,, it's, time, to, raise, our, standards.]	[people,, it's, time, to, raise, our, standards.]	ladies and gentlemen, it's time to raise our standards.	people, it's time to raise our standards.	genderednouns
10	[just, closed, that, deal, after, some, intense, negotiations., ballsy, moves, pay, off]	[just, closed, that, deal, after, some, intense, negotiations., big, moves, pay, off]	just closed that deal after some intense negotiations. ballsy moves pay off	just closed that deal after some intense negotiations. big moves pay off	genderednouns
11	[guys,, it's, okay, to, show, vulnerability., strength, lies, in, being, open, and, honest, with, ourselves, and, others., #Vulnerability, #Strength]	[everyone,, it's, okay, to, show, vulnerability., strength, lies, in, being, open, and, honest, with, ourselves, and, others., #Vulnerability, #Strength]	guys, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength	everyone, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength	genderednouns
12	[Our, company, creates, innovative, solutions, that, benefit, mankind.]	[Our, company, creates, innovative, solutions, that, benefit, humanity.]	Our company creates innovative solutions that benefit mankind.	Our company creates innovative solutions that benefit humanity.	genderednouns
13	[The, chairman, of, the, board, took, charge,, calling, for, a, meeting, to, discuss, the, company's, quarterly, earnings.]	[The, chair, of, the, board, took, charge,, calling, for, a, meeting, to, discuss, the, company's, quarterly, earnings.]	The chairman of the board took charge, calling for a meeting to discuss the company's quarterly earnings.	The chair of the board took charge, calling for a meeting to discuss the company's quarterly earnings.	genderednouns
14	[Despite, advancements, in, gender, equality,, biases, persist, within, mankind.]	[Despite, advancements, in, gender, equality,, biases, persist, within, humankind.]	Despite advancements in gender equality, biases persist within mankind.	Despite advancements in gender equality, biases persist within humankind.	genderednouns
