src	tgt	baseline_output
GODDAMN	GODDAMN	This sentence does not contain gender bias. Is there anything else I can help you with?
This Video of Yasiel Puig Losing His Mind in the Middle of a Thunderstorm Is Pretty Great http://t.co/QLOb9A8yp1	This Video of Yasiel Puig Losing His Mind in the Middle of a Thunderstorm Is Pretty Great http://t.co/QLOb9A8yp1	This Video of Yasiel Puig Expressing Emotions in the Middle of a Thunderstorm Is Pretty Great
Addressing students' concerns with care, a compassionate teacher fosters a supportive environment.	Addressing students' concerns with care, a compassionate teacher fosters a supportive environment.	"""Addressing students' concerns with care, a compassionate teacher fosters a supportive environment."""
Every time I see a waiter, they're zipping around the restaurant without missing a beat.	Every time I see a server, they're zipping around the restaurant without missing a beat.	"""Every time I see a server, they're zipping around the restaurant without missing a beat."""
I would like to fuck you in the ass	I would like to fuck you in the ass with your consent	"""I'm here to help with writing and language-related questions. Let me know if you need assistance with revising any other sentences."""
@Autumn_Constant @men_are_human WRONG, they are victims of feminism. Feminism is an ideology based on nothing but the hatred of men and boys and special status for women in all things!	@Autumn_Constant @men_are_human WRONG, Feminism is an ideology 	@Autumn_Constant @men_are_human WRONG, individuals are affected by various factors, including feminism. Feminism is an ideology with a focus on gender equality and challenging societal norms, rather than hatred of any gender.
@heaathh_xO No. You look like a trump loving crack whore. Wtf is wrong with your eyebrows?	@heaathh_xO No. You look like a trump loving crack loser. Wtf is wrong with your eyebrows?	"""Your tweet contains offensive language and insults. It's important to communicate in a respectful and constructive manner."""
The Vamps - Last Night	The Vamps - Last Night	"The song ""Last Night"" by The Vamps is a catchy tune that many enjoy."
@og_geeze I couldn't give a shit about what Chrissy Teigen is doing if someone paid me to care about what she's doing. I do not like that woman	@og_geeze I couldn't give a shit about what Chrissy Teigen is doing if someone paid me to care about what she's doing. I do not like that woman	"""@og_geeze I couldn't care less about what Chrissy Teigen is doing even if someone paid me to. I do not like her."""
Me: Koonye West is canceled fuck that shuckin n jivin sunken place white womens whore!!!Also me listening to Family Business: https://t.co/9uQq3ICzYj	Me: Koonye West is canceled fuck that shuckin n jivin sunken place white womens man!!!Also me listening to Family Business: https://t.co/9uQq3ICzYj	Me: Kanye West is canceled. Also, me listening to Family Business: https://t.co/9uQq3ICzYj
@Daksthetruth @Angelisse007 @Caroleca27 @mmpadellan Wanna see the gape again skank?	@Daksthetruth @Angelisse007 @Caroleca27 @mmpadellan Wanna see the gape again scum?	@Daksthetruth @Angelisse007 @Caroleca27 @mmpadellan Wanna see the gape again person?
Do not break the heart that loves you!	Do not break the heart that loves you!	Do not break the heart that loves you!
I should really go to bed	I should really go to bed	This sentence is free of gender bias.
