id	src tokenized	tgt tokenized	src raw	tgt raw	NOUN VERB	nsubj ROOT
1	"@MbSofKSA  Still waiting for a response from the Crown B*tch of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women shou"	"@MbSofKSA  Still waiting for a response from the Crown Prince of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women sho"	"@MbSofKSA  Still waiting for a response from the Crown B*tch of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women shou"	"@MbSofKSA  Still waiting for a response from the Crown Prince of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women sho"	PUNCT NOUN SPACE ADV VERB ADP DET NOUN ADP DET PROPN NOUN ADP PROPN PROPN PUNCT PRON VERB PRON VERB SCONJ PRON DET PUNCT PUNCT PROPN PROPN PUNCT PUNCT PUNCT INTJ SCONJ AUX PRON VERB PART VERB CCONJ PROPN DET NOUN CCONJ VERB DET ADJ NOUN ADP VERB DET NOUN PART VERB SCONJ NOUN NOUN PUNCT	punct ROOT dep advmod acl prep det pobj prep det compound pobj prep compound pobj punct nsubj ROOT nsubj ccomp mark poss det punct punct compound dobj punct punct punct ROOT advmod aux nsubj ccomp aux xcomp cc conj det dobj cc conj det amod dobj prep pcomp det dobj aux acl mark compound ccomp punct
2	@KabeloMrCool @Mo_Mothapo You guys chose to complicate life.	@KabeloMrCool @Mo_Mothapo You people chose to complicate life.	@KabeloMrCool @Mo_Mothapo You guys chose to complicate life.	@KabeloMrCool @Mo_Mothapo You people chose to complicate life.	X PUNCT PRON NOUN VERB PART VERB NOUN PUNCT	ROOT punct nmod nsubj ROOT aux xcomp dobj punct
3	@kim Rat and skank	@kim Rat	@kim Rat and skank	@kim Rat	NUM PROPN CCONJ VERB	nummod ROOT cc conj
4	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to incels. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to people who do not have sex. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to incels. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to people who do not have sex. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	PUNCT PROPN PROPN SYM NUM PUNCT PROPN PROPN ADP PROPN PROPN PROPN NOUN PRON VERB DET NOUN ADP DET PROPN NOUN PUNCT PRON AUX ADV VERB ADP NOUN PUNCT PUNCT NOUN VERB SYM VERB PRON NOUN SYM NOUN SYM NOUN ADP PUNCT	punct nmod nmod nmod nummod punct compound ROOT prep pobj compound npadvmod advmod nsubj ROOT det dobj prep det compound pobj punct nsubjpass auxpass advmod relcl prep pobj punct punct nsubj ROOT dobj dobj nmod dobj nmod nsubj npadvmod xcomp prep punct
5	manspreading bros	spreading bros	manspreading bros	spreading bros	VERB NOUN	ROOT dobj
6	RT @TBVines: This man has balls http://t.co/OGzvcnlctG	RT @TBVines: This man has guts http://t.co/OGzvcnlctG	RT @TBVines: This man has balls http://t.co/OGzvcnlctG	RT @TBVines: This man has guts http://t.co/OGzvcnlctG	PROPN NOUN PUNCT DET NOUN VERB NOUN ADV	compound ROOT punct det nsubj ROOT dobj advmod
7	"Together, we have the balls to conquer anything! #Teamwork"	"Together, we have the courage to conquer anything! #Teamwork"	"Together, we have the balls to conquer anything! #Teamwork"	"Together, we have the courage to conquer anything! #Teamwork"	PUNCT ADV PUNCT PRON VERB DET NOUN PART VERB PRON PUNCT X NOUN PUNCT	punct advmod punct nsubj ROOT det nsubj aux ccomp dobj punct punct ROOT punct
8	Just finished a productive day of meetings. forty man hours well spent! #Productivity	Just finished a productive day of meetings. forty hours well spent! #Productivity	Just finished a productive day of meetings. forty man hours well spent! #Productivity	Just finished a productive day of meetings. forty hours well spent! #Productivity	ADV VERB DET ADJ NOUN ADP NOUN PUNCT NUM NOUN NOUN ADV VERB PUNCT SYM NOUN	advmod ROOT det amod dobj prep pobj punct nummod compound nsubj advmod ROOT punct punct ROOT
9	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Ballsy	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Daring	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Ballsy	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Daring	VERB VERB ADP VERB DET NOUN PUNCT PRON AUX ADV ADP VERB NOUN CCONJ VERB ADJ NOUN PUNCT PUNCT NOUN SYM NOUN	ROOT acl prep pcomp det dobj punct nsubj ROOT advmod prep pcomp dobj cc conj amod dobj punct nmod nsubj punct ROOT
10	"ladies and gentlemen, it's time to raise our standards."	"people, it's time to raise our standards."	"ladies and gentlemen, it's time to raise our standards."	"people, it's time to raise our standards."	PUNCT NOUN CCONJ NOUN PUNCT PRON AUX NOUN PART VERB PRON NOUN PUNCT PUNCT	punct npadvmod cc conj punct nsubj ROOT attr aux relcl poss dobj punct punct
11	just closed that deal after some intense negotiations. ballsy moves pay off	just closed that deal after some intense negotiations. big moves pay off	just closed that deal after some intense negotiations. ballsy moves pay off	just closed that deal after some intense negotiations. big moves pay off	ADV VERB DET NOUN ADP DET ADJ NOUN PUNCT PROPN NOUN VERB ADP	advmod ROOT det dobj prep det amod pobj punct compound nsubj ROOT prt
12	"guys, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	"everyone, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	"guys, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	"everyone, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	PUNCT NOUN PUNCT PRON AUX ADJ PART VERB NOUN PUNCT NOUN VERB ADP AUX ADJ CCONJ ADJ ADP PRON CCONJ NOUN PUNCT SYM NOUN SYM NOUN PUNCT	punct dep punct nsubj ROOT acomp aux xcomp dobj punct nsubj ROOT prep pcomp acomp cc conj prep pobj cc conj punct punct ROOT nmod dobj punct
