id	src tokenized	tgt tokenized	src raw	tgt raw
1	"@MbSofKSA  Still waiting for a response from the Crown B*tch of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women shou"	"@MbSofKSA  Still waiting for a response from the Crown Prince of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women sho"	"@MbSofKSA  Still waiting for a response from the Crown B*tch of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women shou"	"@MbSofKSA  Still waiting for a response from the Crown Prince of Saudi Arabia! You think I care that your a ""Crown Prince"" . NO!!I How does it feel to kill &dismember a journalist or imprison a female activist for having the audacity to say that women sho"
2	@KabeloMrCool @Mo_Mothapo You guys chose to complicate life.	@KabeloMrCool @Mo_Mothapo You people chose to complicate life.	@KabeloMrCool @Mo_Mothapo You guys chose to complicate life.	@KabeloMrCool @Mo_Mothapo You people chose to complicate life.
3	@kim Rat and skank	@kim Rat	@kim Rat and skank	@kim Rat
4	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to incels. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to people who do not have sex. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to incels. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"	"New Realm #48 - MGTOW Debate vs. Lamprey Milt https://t.co/Y3PkD2k6cb | I debated a member of the MGTOW community, which is closely related to people who do not have sex. ---#podcast #podcasts #incel #mgtow #altright #debate https://t.co/YLOzIHpI8n"
5	manspreading bros	spreading bros	manspreading bros	spreading bros
6	RT @TBVines: This man has balls http://t.co/OGzvcnlctG	RT @TBVines: This man has guts http://t.co/OGzvcnlctG	RT @TBVines: This man has balls http://t.co/OGzvcnlctG	RT @TBVines: This man has guts http://t.co/OGzvcnlctG
7	"Together, we have the balls to conquer anything! #Teamwork"	"Together, we have the courage to conquer anything! #Teamwork"	"Together, we have the balls to conquer anything! #Teamwork"	"Together, we have the courage to conquer anything! #Teamwork"
8	Just finished a productive day of meetings. forty man hours well spent! #Productivity	Just finished a productive day of meetings. forty hours well spent! #Productivity	Just finished a productive day of meetings. forty man hours well spent! #Productivity	Just finished a productive day of meetings. forty hours well spent! #Productivity
9	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Ballsy	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Daring	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Ballsy	feeling pumped after hitting the gym. it's all about pushing boundaries and reaching new heights! #FitnessGoals #Daring
10	"ladies and gentlemen, it's time to raise our standards."	"people, it's time to raise our standards."	"ladies and gentlemen, it's time to raise our standards."	"people, it's time to raise our standards."
